UPMID,ConglomeradoID,LatDms,LongDms,X,Y,Estado,Region,PROYECTO,A,B,C,D,E,F,G,H,SecuenciaID,Ciclo,ProveedorID,Municipio,MunicipioID
216796,0,26 51 31,-108 40 31,-108.6752778,26.8586111,Sonora,NOROESTE,INFYS,true,false,false,false,false,true,false,false,1,1,2,Alamos,26003
216814,23726,26 52 37,-108 13 16,-108.2211111,26.8769444,Sinaloa,NORTE-NORESTE,INFYS,true,false,false,false,false,false,false,false,6,1,2,Choix,25007
216816,0,26 52 44,-108 10 14,-108.1705556,26.8788889,Sinaloa,NORTE-NORESTE,INFYS,true,false,true,true,false,false,false,false,1,1,2,Choix,25007
216834,23736,26 53 45,-107 42 59,-107.7163889,26.8958333,Chihuahua,NOROESTE,INFYS,true,false,false,false,true,false,false,false,,1,2,Batopilas,8008
216836,23737,26 53 52,-107 39 57,-107.6658333,26.8977778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,false,1,1,2,Batopilas,8008
216854,23746,26 54 47,-107 12 42,-107.2116667,26.9130556,Chihuahua,NOROESTE,INFYS,true,false,true,false,true,false,false,false,6,1,2,Guachochi,8027
216856,23747,26 54 53,-107 09 40,-107.1611111,26.9147222,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,4,1,2,Guachochi,8027
216876,23757,26 55 49,-106 39 22,-106.6561111,26.9302778,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,1,1,2,Balleza,8007
216894,23766,26 56 34,-106 12 06,-106.2016667,26.9427778,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,9,1,2,El Tule,8064
216934,0,26 57 58,-105 11 28,-105.1911111,26.9661111,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,2,1,2,López,8039
216954,0,26 58 32,-104 41 09,-104.6858333,26.9755556,Chihuahua,NOROESTE,INFYS,true,false,true,false,false,false,false,true,1,1,2,Jiménez,8036
216974,0,26 58 60,-104 10 49,-104.1802778,26.9833333,Chihuahua,NOROESTE,INFYS,true,false,false,false,false,false,false,true,2,1,2,Jiménez,8036
